year,runtime_minutes,average_rating,number_of_votes,approval_index,production_budget,bo_domestic,bo_foreign,domestic_percent,foreign_percent,nominations_count,budget_per_minute,vote_ratio,mean_gross_by_genre,genre_Action,genre_Adventure,genre_Animation,genre_Biography,genre_Comedy,genre_Crime,genre_Drama,genre_Horror,genre_Other,country_Australia,country_Canada,country_France,country_Germany,country_India,country_Italy,country_Japan,country_Other,country_United Kingdom,country_United States,country_None,rating_G,rating_Not Rated,rating_Other,rating_PG,rating_PG-13,rating_R,rating_Unrated,rating_None,has_oscar
0.05000000000001137,0.2435897435897436,0.7575757575757578,0.02943124575783111,0.5838359469240049,0.22414855742388318,0.1866386528582593,0.05037128964691802,0.7777777777777779,0.22,0.0,0.3472697017748661,0.04876576833673632,0.10798196182103102,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,False
0.15000000000000568,0.1858974358974359,0.7878787878787878,0.11026174601152305,0.6863691194209892,0.1298862326249157,0.46468626013906134,0.1228946813285458,0.7878787878787881,0.22,0.0,0.22104089982316955,0.15729707645127877,0.10376668917399683,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,False
0.05000000000001137,0.20512820512820507,0.46969696969696967,0.010001646576201832,0.3570566948130278,0.18064286905512894,0.04197155859870545,0.050867743865948535,0.4444444444444445,0.55,0.0,0.297616022578963,0.025826787255208185,0.10376668917399683,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,False
0.3500000000000085,0.32692307692307687,0.8636363636363638,0.2057937130591374,0.7804583835946924,0.13713718068637473,0.15646714968841458,0.10711760173548773,0.5858585858585859,0.41,0.07692307692307693,0.18816118609751808,0.2602782242003649,0.10800812381772883,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,False
0.4000000000000057,0.41666666666666663,0.8484848484848486,0.13010932222900223,0.7394451145958988,0.14438812874783377,0.24597315713492968,0.17016950179533213,0.5757575757575758,0.42,0.6153846153846154,0.17634503897736212,0.17310877233492433,0.1082061137053058,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,True
0.15000000000000568,0.16666666666666663,0.6060606060606062,0.04380414236849183,0.51145958986731,0.2894070899770145,0.07430486949160196,0.07203770197486535,0.494949494949495,0.5,0.0,0.5089231124154604,0.08199777898202258,0.10376668917399683,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,False
0.6500000000000057,0.3141025641025641,0.6818181818181819,0.06676084188472625,0.5838359469240049,0.1081333884405386,0.3319203117818385,0.11141690604428486,0.7373737373737375,0.26,0.0,0.151024723719885,0.11067596028446805,0.26379079688020746,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,False
0.3500000000000085,0.32692307692307687,0.7424242424242424,0.0539860927640799,0.6115802171290712,0.3981713108989,0.12616672380633295,0.44433908587672055,0.21212121212121213,0.78,0.15384615384615385,0.546377014582247,0.08572440102782103,0.1082061137053058,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,True
0.6000000000000085,0.6987179487179486,0.8333333333333335,0.2719026299770746,0.7768395657418578,0.7389658697874746,0.2092895766413437,0.7732988928785159,0.20202020202020202,0.79,0.0,0.6717988356666934,0.3454132486545826,0.26379079688020746,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,False
0.8500000000000085,0.3589743589743589,0.4848484848484848,0.0494442246525985,0.4378769601930037,0.25315234966971933,0.051114437407682185,0.2727051615798923,0.15151515151515152,0.85,0.0,0.3327352214500149,0.10657952914130896,0.10800812381772883,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,False
