year,runtime_minutes,average_rating,number_of_votes,approval_index,production_budget,bo_worldwide,bo_domestic,bo_foreign,domestic_percent,foreign_percent,nominations_count,wins_count,budget_per_minute,vote_ratio,mean_gross_by_genre,genre_Action,genre_Adventure,genre_Animation,genre_Biography,genre_Comedy,genre_Crime,genre_Drama,genre_Horror,genre_Other,country_Australia,country_Canada,country_France,country_Germany,country_India,country_Italy,country_Japan,country_Other,country_United Kingdom,country_United States,country_None,rating_G,rating_Not Rated,rating_Other,rating_PG,rating_PG-13,rating_R,rating_Unrated,rating_None,has_oscar
0.3500000000000085,0.2948717948717948,0.8787878787878789,0.211980667258242,0.7937273823884199,0.0017257256386272503,80460948.0,0.45082595249384844,0.16598533064033513,0.7171717171717172,0.28,0.0,0,0.002485068781892676,0.26387864871463346,0.10587733590506189,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,False
0.25,0.23717948717948711,0.7424242424242424,0.057043062065492006,0.6139927623642945,0.007345210386258003,46201432.0,0.22822105614967772,0.12455537851585877,0.6363636363636365,0.36,0.0,0,0.01158068353390706,0.09025095820606921,0.10587733590506189,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,False
0.15000000000000568,0.28846153846153844,0.7575757575757578,0.020090464833677175,0.5609167671893849,0.07187864813324342,93400759.0,0.23977627933392795,0.46647965290245363,0.32323232323232326,0.67,0.0,0,0.10413525102085333,0.03452815517558027,0.10376668917399683,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,False
0.0,0.1923076923076923,0.7575757575757578,0.013972800945328453,0.5379975874547649,0.028372959764489204,26330482.0,0.09357636579600614,0.10586385397965291,0.4545454545454546,0.54,0.0,0,0.04789208480018254,0.024940730230104267,0.10376668917399683,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,False
0.25,0.28205128205128205,0.7121212121212122,0.052059375090803835,0.5886610373944512,0.18064286905512894,42886719.0,0.1685018763858281,0.1573982645122681,0.5050505050505052,0.49,0.0,0,0.2641379077673061,0.08563981897932597,0.10376668917399683,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,False
0.05000000000001137,0.14743589743589736,0.5303030303030303,0.006189934427524198,0.367913148371532,0.0863805442561615,18634654.0,0.1332258042164532,0.010026638240574507,0.9292929292929295,0.07,0.0,0,0.15738424476129786,0.015550170331811051,0.10376668917399683,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,False
0.5500000000000114,0.20512820512820507,0.5303030303030303,0.026115741641018073,0.4378769601930037,0.4561788953905723,183953723.0,0.8369064290673423,0.5675375374027529,0.5858585858585859,0.41,0.0,0,0.751356071992953,0.05627334803820503,0.39926384018223143,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,False
0.45000000000000284,0.26923076923076916,0.5454545454545454,0.024960903128420277,0.44390832328106156,0.18064286905512894,32482728.0,0.17815357130251422,0.07025522142429683,0.7070707070707071,0.29,0.0,0,0.2691861949214449,0.05312328877163562,0.26379079688020746,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,False
0.75,0.3717948717948718,0.8636363636363638,0.325361222310884,0.8118214716525936,0.21689760936242414,84872444.0,0.3626034445104292,0.284134881807301,0.5454545454545456,0.45,0.23076923076923078,0,0.280346664456421,0.3965202035022443,0.26379079688020746,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,False
0.8000000000000114,0.33974358974358976,0.9090909090909092,0.5243130759757082,0.8793727382388421,0.34016372640722775,203388186.0,0.7784737172287014,0.7693151331538002,0.48484848484848486,0.51,0.6153846153846154,1,0.4587102098141931,0.5924752034780882,0.10798196182103102,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,True
0.6500000000000057,0.5769230769230769,0.9393939393939394,0.5408533437045282,0.9059107358262969,0.3329127783457687,122126687.0,0.471987080322818,0.45724405296229803,0.494949494949495,0.5,0.07692307692307693,0,0.3401492745450147,0.5941675012965162,0.10800812381772883,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,False
0.10000000000000853,0.28846153846153844,0.3636363636363636,0.006290517136685941,0.28106151990349826,0.3256618302843097,41314585.0,0.027674313481907006,0.2815594404548175,0.08080808080808081,0.91,0.0,0,0.4717487169812618,0.0199850361258382,0.10376668917399683,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False
0.05000000000001137,0.1923076923076923,0.4393939393939394,0.013700855102039295,0.35464414957780466,0.5431902721280807,7622365.0,0.04113144506797305,0.016534754637941355,0.7070707070707071,0.29,0.0,0,0.9139013188967762,0.03560677435773192,0.39926384018223143,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,False
0.45000000000000284,0.23717948717948711,0.8787878787878789,0.17580367447262996,0.7816646562123041,0.4344260512061952,124596837.0,0.582695425292962,0.36887049670855776,0.595959595959596,0.4,0.07692307692307693,0,0.6797129062960072,0.22201818494383552,0.39926384018223143,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,False
0.30000000000001137,0.32692307692307687,0.37878787878787884,0.02998482318677315,0.34981905910735833,0.5069355318207855,38629478.0,0.045466616589821734,0.2443008827049671,0.15151515151515152,0.85,0.0,0,0.6956336097842173,0.07892207234233331,0.10798196182103102,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,False
0.10000000000000853,0.28846153846153844,0.6363636363636362,0.019057815686283272,0.4849215922798553,0.2894070899770145,29414087.0,0.1731776382447296,0.0521026855176541,0.7575757575757577,0.24,0.0,0,0.4192325075583463,0.03742655420463901,0.10800812381772883,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,False
0.0,0.3141025641025641,0.5909090909090908,0.09922148983108811,0.5428226779252112,0.6519544930499662,190213455.0,0.5665983853209223,0.8752551989826451,0.38383838383838387,0.62,0.07692307692307693,0,0.9106341814441984,0.1759297246859152,0.26379079688020746,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,False
0.0,0.27564102564102566,0.5909090909090908,0.01575423248314867,0.4487334137515079,0.25315234966971933,53425292.0,0.2844468210398208,0.12432678037103531,0.6868686868686869,0.31,0.0,0,0.37365240126675925,0.033187206028309255,0.10798196182103102,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,False
0.20000000000000284,0.2564102564102564,0.6515151515151516,0.03988141671118383,0.5343787696019301,0.2894070899770145,35060882.0,0.1030414196261601,0.16203672950329145,0.37373737373737376,0.62,0.0,0,0.43962715199443,0.07171219126599152,0.10376668917399683,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,False
0.3500000000000085,0.41025641025641024,0.8636363636363638,0.20507845823843168,0.7804583835946924,0.5069355318207855,137515140.0,0.2986276218360321,0.7396783512866547,0.27272727272727276,0.72,0.0,0,0.6243351837297328,0.259373441268377,0.2859195739287712,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,False
0.0,0.3846153846153846,0.6060606060606062,0.09241464812070521,0.5500603136308806,0.5939469085582939,96085477.0,0.26738779007823393,0.45991320317175344,0.35353535353535354,0.64,0.0,0,0.7553362478650054,0.1618746706574936,0.26379079688020746,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,False
0.75,0.2948717948717948,0.6515151515151516,0.07776757049544063,0.571773220747889,0.0863805442561615,85512300.0,0.2472055339450308,0.4002991921005386,0.36363636363636365,0.63,0.0,0,0.12398541458254249,0.1314397088486091,0.2859195739287712,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,False
0.25,0.08333333333333331,0.5454545454545454,0.017415709827079694,0.4270205066344994,0.25315234966971933,61746888.0,0.15015156440511035,0.3161937612208259,0.31313131313131315,0.69,0.0,0,0.5215009153819187,0.038370413609887175,0.39926384018223143,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False
