Rank,Release Group,Worldwide,Domestic,Domestic_percent,Foreign,Foreign_percent,year
64,Snow Day,"6,24,64,731","6,00,20,107",96.10%,"24,44,624",3.90%,2000
65,28 Days,"6,21,98,945","3,71,70,488",59.80%,"2,50,28,457",40.20%,2000
66,Taxi 2,"6,07,26,164","6,26,164",1%,"6,01,00,000",99%,2000
67,Keeping the Faith,"5,99,45,183","3,70,47,880",61.80%,"2,28,97,303",38.20%,2000
68,Next Friday,"5,98,27,328","5,73,28,603",95.80%,"24,98,725",4.20%,2000
69,The Flintstones in Viva Rock Vegas,"5,94,68,275","3,52,68,275",59.30%,"2,42,00,000",40.70%,2000
70,Little Nicky,"5,82,92,295","3,94,64,775",67.70%,"1,88,27,520",32.30%,2000
71,Pay It Forward,"5,57,07,411","3,35,19,628",60.20%,"2,21,87,783",39.80%,2000
72,Bounce,"5,34,25,292","3,68,05,288",68.90%,"1,66,20,004",31.10%,2000
73,Pitch Black,"5,31,87,659","3,92,40,659",73.80%,"1,39,47,000",26.20%,2000
74,Hanging Up,"5,18,80,044","3,60,50,230",69.50%,"1,58,29,814",30.50%,2000
75,The Skulls,"5,08,02,120","3,50,46,120",69%,"1,57,56,000",31%,2000
76,The Replacements,"5,00,54,511","4,47,37,059",89.40%,"53,17,452",10.60%,2000
77,Book of Shadows: Blair Witch 2,"4,77,37,094","2,64,37,094",55.40%,"2,13,00,000",44.60%,2000
78,Almost Famous,"4,73,83,689","3,25,34,850",68.70%,"1,48,48,839",31.30%,2000
79,The Watcher,"4,72,67,829","2,89,46,615",61.20%,"1,83,21,214",38.80%,2000
80,High Fidelity,"4,71,26,295","2,72,87,137",57.90%,"1,98,39,158",42.10%,2000
81,Dracula 2000,"4,70,53,625","3,30,22,767",70.20%,"1,40,30,858",29.80%,2000
82,The Gift,"4,45,67,606","1,20,08,642",26.90%,"3,25,58,964",73.10%,2000
83,Where the Heart Is,"4,08,63,718","3,37,72,838",82.60%,"70,90,880",17.40%,2000
84,Bless the Child,"4,04,43,010","2,93,81,494",72.60%,"1,10,61,516",27.40%,2000
85,The Art of War,"4,04,00,425","3,02,08,599",74.80%,"1,01,91,826",25.20%,2000
86,Dancer in the Dark,"4,00,31,879","41,84,036",10.50%,"3,58,47,843",89.50%,2000
87,The Legend of Bagger Vance,"3,94,59,427","3,09,19,168",78.40%,"85,40,259",21.60%,2000
88,Urban Legends: Final Cut,"3,85,74,362","2,14,68,807",55.70%,"1,71,05,555",44.30%,2000
89,The Original Kings of Comedy,"3,81,82,790","3,81,82,790",100%,0,0,2000
90,Titan A.E.,"3,67,54,634","2,27,53,426",61.90%,"1,40,01,208",38.10%,2000
91,Return to Me,"3,66,09,995","3,27,22,798",89.40%,"38,87,197",10.60%,2000
92,My Dog Skip,"3,55,47,761","3,41,34,641",96%,"14,13,120",4%,2000
93,The Adventures of Rocky & Bullwinkle,"3,51,34,820","2,60,05,820",74%,"91,29,000",26%,2000
94,American Psycho,"3,42,66,564","1,50,70,285",44%,"1,91,96,279",56%,2000
95,Dungeons & Dragons,"3,39,78,694","1,53,91,970",45.30%,"1,85,86,724",54.70%,2000
96,Red Planet,"3,34,63,969","1,74,80,890",52.20%,"1,59,83,079",47.80%,2000
97,Wonder Boys,"3,34,26,588","1,93,93,557",58%,"1,40,33,031",42%,2000
98,Reindeer Games,"3,21,68,970","2,33,68,995",72.60%,"87,99,975",27.40%,2000
99,Lost Souls,"3,13,55,910","1,68,15,253",53.60%,"1,45,40,657",46.40%,2000
100,Small Time Crooks,"2,99,34,477","1,72,66,359",57.70%,"1,26,68,118",42.30%,2000
101,Battlefield Earth,"2,97,25,663","2,14,71,685",72.20%,"82,53,978",27.80%,2000
102,Nurse Betty,"2,93,60,400","2,51,70,054",85.70%,"41,90,346",14.30%,2000
103,Boiler Room,"2,87,80,255","1,69,70,581",59%,"1,18,09,674",41%,2000
104,The Little Vampire,"2,79,65,865","1,35,72,400",48.50%,"1,43,93,465",51.50%,2000
105,Love & Basketball,"2,77,28,118","2,74,59,615",99%,"2,68,503",1%,2000
106,Cirque du Soleil: Journey of Man,"2,75,38,359","1,56,27,434",56.70%,"1,19,10,925",43.30%,2000
107,Center Stage,"2,63,85,941","1,72,00,925",65.20%,"91,85,016",34.80%,2000
108,Saving Grace,"2,63,30,482","1,21,78,602",46.30%,"1,41,51,880",53.70%,2000
109,Boys and Girls,"2,58,50,615","2,17,99,652",84.30%,"40,50,963",15.70%,2000
110,Down to You,"2,44,19,914","2,00,69,008",82.20%,"43,50,906",17.80%,2000
111,The Next Best Thing,"2,43,62,772","1,49,90,582",61.50%,"93,72,190",38.50%,2000
112,Dr. T & the Women,"2,28,44,291","1,31,13,041",57.40%,"97,31,250",42.60%,2000
113,The Contender,"2,23,61,811","1,78,72,723",79.90%,"44,89,088",20.10%,2000
114,Michael Jordan to the Max,"2,12,68,532","1,86,50,521",87.70%,"26,18,011",12.30%,2000
115,Best in Show,"2,07,89,556","1,87,15,392",90%,"20,74,164",10%,2000
116,Thomas and the Magic Railroad,"1,97,48,009","1,59,33,506",80.70%,"38,14,503",19.30%,2000
117,Get Carter,"1,94,12,993","1,49,67,182",77.10%,"44,45,811",22.90%,2000
118,The Ninth Gate,"1,86,61,336","1,86,61,336",100%,0,0,2000
119,Loser,"1,84,04,706","1,56,18,626",84.90%,"27,86,080",15.10%,2000
120,All the Pretty Horses,"1,81,33,495","1,55,40,353",85.70%,"25,93,142",14.30%,2000
121,Quills,"1,79,89,227","70,65,332",39.30%,"1,09,23,895",60.70%,2000
122,CyberWorld,"1,66,53,900","1,12,53,900",67.60%,"54,00,000",32.40%,2000
123,Digimon: The Movie,"1,66,43,191","96,31,153",57.90%,"70,12,038",42.10%,2000
124,The Dish,"1,65,75,074","25,52,992",15.40%,"1,40,22,082",84.60%,2000
125,Italian for Beginners,"1,63,49,568","45,44,753",27.80%,"1,18,04,815",72.20%,2000
126,Drowning Mona,"1,59,06,764","1,55,06,764",97.50%,"4,00,000",2.50%,2000
127,Highlander: Endgame,"1,58,43,608","1,28,11,858",80.90%,"30,31,750",19.10%,2000
128,Bait,"1,54,71,969","1,53,25,127",99.10%,"1,46,842",0.90%,2000
129,Supernova,"1,48,28,081","1,42,30,455",96%,"5,97,626",4%,2000
130,Malena,"1,44,93,284","34,48,233",23.80%,"1,10,45,051",76.20%,2000
131,I Dreamed of Africa,"1,44,00,327","66,51,522",46.20%,"77,48,805",53.80%,2000
132,What Planet Are You From?,"1,41,45,677","62,91,602",44.50%,"78,54,075",55.50%,2000
133,The Ladies Man,"1,37,43,212","1,36,16,610",99.10%,"1,26,602",0.90%,2000
134,Solarmax,"1,34,00,161","1,34,00,161",100%,0,0,2000
135,The Crew,"1,31,05,853","1,30,23,075",99.40%,"82,778",0.60%,2000
136,The Way of the Gun,"1,30,69,740","60,55,661",46.30%,"70,14,079",53.70%,2000
137,In the Mood for Love,"1,28,54,953","27,38,980",21.30%,"1,01,15,973",78.70%,2000
138,Gossip,"1,25,91,270","51,08,820",40.60%,"74,82,450",59.40%,2000
139,Ready to Rumble,"1,24,52,362","1,23,94,327",99.50%,"58,035",0.50%,2000
140,Drunken Master II,"1,15,55,430","1,15,55,430",100%,0,0,2000
141,You Can Count on Me,"1,12,42,521","94,16,804",83.80%,"18,25,717",16.20%,2000
142,Shadow of the Vampire,"1,11,55,214","82,93,784",74.30%,"28,61,430",25.70%,2000
143,Lucky Numbers,"1,08,90,222","1,00,42,516",92.20%,"8,47,706",7.80%,2000
